trade_date,due_date,open_price,min_price,close_price,final_price,-,buy_due_date,buy_price,-,sell_due_date,sell_price,-,all_deals_due_date,all_deals_buy_price,deals_total_value,net_gain,-,total_net_gain,cash,total,-,deal_min_price,period_min_price,diff_deal_period_min_price
1998-08-19,100,"","","","","",1998-12-01,7405,"","","","","","","","","","",12595,20000,"","","",""
1998-08-19,1998-09-01,7269,7260,7285,7285,"","","","","","","","","","","","","","","","","","",""
1998-08-19,1998-10-01,7301,7301,7301,7301,"","","","","","","","","","","","","","","","","","",""
1998-11-18,1999-09-01,7070,7070,7070,7070,"","","","","","","","","","","","","","","","","","",""
1998-08-19,1998-12-01,7405,7405,7405,7405,"","","","","","","","","","","","","","","","","","",""
1998-08-19,101,"","","","","","","","","","","",1998-12-01,7405,"","","","","","","","","",""
1998-08-19,1999-03-01,7449,7449,7598,7598,"","","","","","","","","","","","","","","","","","",""
1998-08-19,1999-06-01,7654,7654,7654,7654,"","","","","","","","","","","","","","","","","","",""
1998-11-18,1998-12-01,7200,7130,7140,7140,"","","","","","","","","","","","","","","","","","",""
1998-08-19,199,"","","","","","","","","","","","","",7405,"","","",12595,20000,"","","",""
1998-11-18,1999-06-01,7175,7175,7175,7175,"","","","","","","","","","","","","","","","","","",""
1998-11-18,1998-11-01,7195,7052,7110,7110,"","","","","","","","","","","","","","","","","","",""
1998-11-18,1999-03-01,7150,7110,7160,7160,"","","","","","","","","","","","","","","","","","",""
1998-11-18,100,"","","","","",1999-03-01,7150,"","","","","","","","","","",5445,20000,"","","",""
1998-11-18,101,"","","","","","","","","","","",1998-12-01,7405,"","","","","","","","","",""
1999-02-17,1999-06-01,6006,6006,6220,6220,"","","","","","","","","","","","","","","","","","",""
1998-11-18,102,"","","","","","","","","","","",1999-03-01,7150,"","","","","","","","","",""
1998-11-18,199,"","","","","","","","","","","","","",14555,"","","",5445,20000,"","","",""
1999-02-17,200,"","","","","","","","",1999-03-01,6218,"","","","",-932,"",-1197,12797,18803,"",6031,"",""
1998-11-18,200,"","","","","","","","",1998-12-01,7140,"","","","",-265,"",-265,12585,19735,"",7130,"",""
1999-02-17,1999-09-01,6249,6249,6249,6249,"","","","","","","","","","","","","","","","","","",""
1999-02-17,1999-02-01,5980,5950,6140,6140,"","","","","","","","","","","","","","","","","","",""
1999-02-17,1999-03-01,6095,6031,6218,6218,"","","","","","","","","","","","","","","","","","",""
1999-02-17,101,"","","","","","","","","","","",1999-03-01,7150,"","","","","","","","","",""
1999-02-17,1999-12-01,6221,6221,6221,6221,"","","","","","","","","","","","","","","","","","",""
1999-02-17,199,"","","","","","","","","","","","","",13156,"","","",6579,19735,"","","",""
1999-02-17,100,"","","","","",1999-06-01,6006,"","","","","","","","","","",6579,19735,"","","",""
1999-02-17,102,"","","","","","","","","","","",1999-06-01,6006,"","","","","","","","","",""
1999-05-19,1999-05-01,7620,7554,7609,7609,"","","","","","","","","","","","","","","","","","",""
1999-05-19,1999-06-01,7644,7576,7624,7624,"","","","","","","","","","","","","","","","","","",""
1999-05-19,102,"","","","","","","","","","","",1999-09-01,7655,"","","","","","","","","",""
1999-05-19,1999-09-01,7655,7580,7636,7636,"","","","","","","","","","","","","","","","","","",""
1999-05-19,1999-12-01,7586,7586,7658,7659,"","","","","","","","","","","","","","","","","","",""
1999-08-18,2000-06-01,8050,8050,8050,8050,"","","","","","","","","","","","","","","","","","",""
1999-05-19,2000-03-01,7690,7690,7690,7690,"","","","","","","","","","","","","","","","","","",""
1999-05-19,199,"","","","","","","","","","","","","",13661,"","","",5142,18803,"","","",""
1999-05-19,100,"","","","","",1999-09-01,7655,"","","","","","","","","","",5142,18803,"","","",""
1999-05-19,101,"","","","","","","","","","","",1999-06-01,6006,"","","","","","","","","",""
