date,category,due_date,open_price,max_price,min_price,close_price,volume,final_price
07/21/1998,TX ,199809,8131,8131,8036,8045,208,8045
07/21/1998,TX ,199810,7768,7768,7768,7768,-,7768
07/21/1998,TX ,199812,8166,8166,8166,8166,-,8166
07/21/1998,TX ,199903,8242,8242,8242,8242,3,8242
07/21/1998,TX ,199906,8414,8414,8414,8414,-,8414
07/22/1998,TX ,199809,7950,7950,7820,7870,360,7870
07/22/1998,TX ,199810,8009,8009,8009,8009,-,8009
07/22/1998,TX ,199812,7910,7910,7875,7875,2,7991
07/22/1998,TX ,199903,8174,8174,8000,8000,5,8067
07/22/1998,TX ,199906,8239,8239,8239,8239,-,8239
07/23/1998,TX ,199809,7830,7859,7802,7825,190,7825
07/23/1998,TX ,199810,7964,7964,7964,7964,-,7964
07/23/1998,TX ,199812,7920,7920,7920,7920,1,7946
07/23/1998,TX ,199903,8100,8100,8010,8010,5,8010
07/23/1998,TX ,199906,8194,8194,8194,8194,-,8194
07/24/1998,TX ,199809,7750,7835,7740,7835,340,7835
07/24/1998,TX ,199810,7770,7770,7770,7770,1,7974
07/24/1998,TX ,199812,7940,7940,7940,7940,1,7956
07/24/1998,TX ,199903,8020,8045,8015,8045,8,8020
07/24/1998,TX ,199906,8204,8204,8204,8204,-,8204
07/25/1998,TX ,199809,7830,7835,7780,7786,150,7786
07/25/1998,TX ,199810,7925,7925,7925,7925,-,7925
07/25/1998,TX ,199812,7907,7907,7907,7907,-,7907
07/25/1998,TX ,199903,8015,8020,8013,8013,4,8015
07/25/1998,TX ,199906,8155,8155,8155,8155,-,8155
07/26/1998,TX ,199809,7830,7835,7780,7786,150,7786
07/26/1998,TX ,199810,7925,7925,7925,7925,-,7925
07/26/1998,TX ,199812,7907,7907,7907,7907,-,7907
07/26/1998,TX ,199903,8015,8020,8013,8013,4,8015
07/26/1998,TX ,199906,8155,8155,8155,8155,-,8155
07/27/1998,TX ,199809,7830,7835,7780,7786,150,7786
07/27/1998,TX ,199810,7925,7925,7925,7925,-,7925
07/27/1998,TX ,199812,7907,7907,7907,7907,-,7907
07/27/1998,TX ,199903,8015,8020,8013,8013,4,8015
07/27/1998,TX ,199906,8155,8155,8155,8155,-,8155
07/28/1998,TX ,199809,7809,7830,7741,7742,264,7742
07/28/1998,TX ,199810,7881,7881,7881,7881,-,7881
07/28/1998,TX ,199812,8024,8025,7922,7950,8,7863
07/28/1998,TX ,199903,8025,8025,8010,8010,7,7971
07/28/1998,TX ,199906,8111,8111,8111,8111,-,8111
07/29/1998,TX ,199809,7710,7729,7657,7680,323,7680
07/29/1998,TX ,199810,7750,7750,7750,7750,1,7819
07/29/1998,TX ,199812,7885,7891,7800,7800,9,7801
07/29/1998,TX ,199903,7945,7980,7925,7980,10,7980
07/29/1998,TX ,199906,8049,8049,8049,8049,-,8049
07/30/1998,TX ,199809,7665,7678,7620,7638,222,7638
07/30/1998,TX ,199810,7600,7660,7600,7660,2,7777
07/30/1998,TX ,199812,7753,7753,7753,7753,2,7759
07/30/1998,TX ,199903,7920,7920,7900,7900,13,7938
07/30/1998,TX ,199906,8007,8007,8007,8007,-,8007
07/31/1998,TX ,199809,7660,7683,7600,7600,257,7600
07/31/1998,TX ,199810,7599,7599,7599,7599,1,7599
07/31/1998,TX ,199812,7777,7777,7777,7777,1,7721
07/31/1998,TX ,199903,7912,7912,7855,7855,13,7900
07/31/1998,TX ,199906,7969,7969,7969,7969,-,7969
08/01/1998,TX ,199809,7557,7609,7550,7609,378,7609
08/01/1998,TX ,199810,7610,7610,7610,7610,1,7608
08/01/1998,TX ,199812,7825,7825,7725,7725,5,7730
08/01/1998,TX ,199903,7750,7810,7750,7810,5,7909
08/01/1998,TX ,199906,7978,7978,7978,7978,-,7978
08/02/1998,TX ,199809,7640,7657,7542,7552,293,7552
08/02/1998,TX ,199810,7550,7550,7550,7550,2,7530
08/02/1998,TX ,199812,7735,7735,7730,7730,3,7755
08/02/1998,TX ,199903,7850,7850,7850,7850,1,7852
08/02/1998,TX ,199906,7921,7921,7921,7921,-,7921
08/03/1998,TX ,199809,7640,7657,7542,7552,293,7552
08/03/1998,TX ,199810,7550,7550,7550,7550,2,7530
08/03/1998,TX ,199812,7735,7735,7730,7730,3,7755
08/03/1998,TX ,199903,7850,7850,7850,7850,1,7852
08/03/1998,TX ,199906,7921,7921,7921,7921,-,7921
08/04/1998,TX ,199809,7555,7600,7548,7560,302,7560
08/04/1998,TX ,199810,7550,7550,7550,7550,2,7538
08/04/1998,TX ,199812,7730,7745,7730,7745,3,7745
08/04/1998,TX ,199903,7830,7835,7830,7835,2,7835
08/04/1998,TX ,199906,7929,7929,7929,7929,-,7929
08/05/1998,TX ,199809,7510,7520,7470,7487,455,7487
08/05/1998,TX ,199810,7465,7465,7465,7465,-,7465
08/05/1998,TX ,199812,7720,7785,7710,7721,13,7721
08/05/1998,TX ,199903,7800,7835,7770,7780,15,7762
08/05/1998,TX ,199906,7856,7856,7856,7856,-,7856
08/06/1998,TX ,199809,7515,7525,7451,7462,270,7462
08/06/1998,TX ,199810,7500,7500,7500,7500,1,7440
08/06/1998,TX ,199812,7730,7730,7701,7720,10,7720
08/06/1998,TX ,199903,7770,7770,7760,7760,4,7737
08/06/1998,TX ,199906,7831,7831,7831,7831,-,7831
08/07/1998,TX ,199809,7480,7520,7452,7515,453,7515
08/07/1998,TX ,199810,7530,7530,7530,7530,1,7530
08/07/1998,TX ,199812,7725,7725,7668,7710,6,7710
08/07/1998,TX ,199903,7735,7735,7735,7735,1,7760
08/07/1998,TX ,199906,7884,7884,7884,7884,-,7884
08/08/1998,TX ,199809,7500,7500,7350,7365,345,7365
08/08/1998,TX ,199810,7380,7380,7380,7380,-,7380
08/08/1998,TX ,199812,7651,7651,7600,7600,4,7600
08/08/1998,TX ,199903,7730,7730,7701,7701,2,7650
08/08/1998,TX ,199906,7734,7734,7734,7734,-,7734
08/09/1998,TX ,199809,7500,7500,7350,7365,345,7365
08/09/1998,TX ,199810,7380,7380,7380,7380,-,7380
08/09/1998,TX ,199812,7651,7651,7600,7600,4,7600
08/09/1998,TX ,199903,7730,7730,7701,7701,2,7650
08/09/1998,TX ,199906,7734,7734,7734,7734,-,7734
08/10/1998,TX ,199809,7500,7500,7350,7365,345,7365
08/10/1998,TX ,199810,7380,7380,7380,7380,-,7380
08/10/1998,TX ,199812,7651,7651,7600,7600,4,7600
08/10/1998,TX ,199903,7730,7730,7701,7701,2,7650
08/10/1998,TX ,199906,7734,7734,7734,7734,-,7734
08/11/1998,TX ,199809,7316,7379,7316,7360,386,7360
08/11/1998,TX ,199810,7375,7375,7375,7375,-,7375
08/11/1998,TX ,199812,7580,7580,7580,7580,1,7605
08/11/1998,TX ,199903,7625,7650,7625,7630,15,7645
08/11/1998,TX ,199906,7729,7729,7729,7729,-,7729
08/12/1998,TX ,199809,7335,7335,7281,7330,384,7330
08/12/1998,TX ,199810,7360,7360,7358,7360,4,7345
08/12/1998,TX ,199812,7480,7525,7480,7525,3,7525
08/12/1998,TX ,199903,7550,7550,7500,7505,5,7550
08/12/1998,TX ,199906,7699,7699,7699,7699,-,7699
08/13/1998,TX ,199809,7360,7378,7291,7291,496,7291
08/13/1998,TX ,199810,7450,7450,7450,7450,1,7306
08/13/1998,TX ,199812,7520,7599,7476,7476,4,7495
08/13/1998,TX ,199903,7600,7600,7512,7512,6,7512
08/13/1998,TX ,199906,7660,7660,7660,7660,-,7660
08/14/1998,TX ,199809,7275,7326,7140,7320,528,7320
08/14/1998,TX ,199810,7300,7300,7300,7300,3,7300
08/14/1998,TX ,199812,7430,7449,7365,7439,5,7439
08/14/1998,TX ,199903,7546,7546,7497,7501,9,7541
08/14/1998,TX ,199906,7689,7689,7689,7689,-,7689
08/15/1998,TX ,199809,7261,7338,7261,7300,361,7300
08/15/1998,TX ,199810,7300,7300,7300,7300,2,7280
08/15/1998,TX ,199812,7465,7465,7465,7465,2,7438
08/15/1998,TX ,199903,7500,7549,7493,7495,17,7521
08/15/1998,TX ,199906,7669,7669,7669,7669,-,7669
08/16/1998,TX ,199809,7285,7285,7219,7219,308,7219
08/16/1998,TX ,199810,7300,7300,7280,7280,4,7199
08/16/1998,TX ,199812,7401,7481,7400,7481,15,7481
08/16/1998,TX ,199903,7500,7544,7400,7410,17,7410
08/16/1998,TX ,199906,7588,7588,7588,7588,-,7588
08/17/1998,TX ,199809,7285,7285,7219,7219,308,7219
08/17/1998,TX ,199810,7300,7300,7280,7280,4,7199
08/17/1998,TX ,199812,7401,7481,7400,7481,15,7481
08/17/1998,TX ,199903,7500,7544,7400,7410,17,7410
08/17/1998,TX ,199906,7588,7588,7588,7588,-,7588
08/18/1998,TX ,199809,7250,7250,7165,7220,574,7220
